Frequency,Voltage
1,4.93204771636945
1.1,5.22203972459447
1.2,4.79565573505036
1.3,4.48346224447522
1.4,4.58479048749313
1.5,3.65614666072775
1.6,3.58748584542411
1.7,3.75906371038037
1.8,3.46666990854055
1.9,3.25699571899803
2,3.78805816316045
2.1,3.13215916879819
2.2,3.39014055316663
2.3,2.55476685671926
2.4,3.19858006636617
2.5,2.68112815478435
2.6,2.18699683901797
2.7,2.48931590409457
2.8,2.49020488503072
2.9,2.73875914365764
3,2.48600792231199
3.1,2.18528311655923
3.2,2.26723758393069
3.3,2.09525242094797
3.4,2.06146605632032
3.5,2.17868389881862
3.6,2.07511322890426
3.7,1.60067070175758
3.8,2.05243697066857
3.9,1.92767115656978
4,1.66707588264311
4.1,1.48778761768801
4.2,1.5389073231372
4.3,1.55012616007251
4.4,1.26343745803416
4.5,1.35889342632935
4.6,1.3683123066273
4.7,1.40460228053304
4.8,1.40453514990372
4.9,1.3914709848048
5,1.41718012995156
5.1,1.05321598637629
5.2,0.999558716251114
5.3,1.22548900242842
5.4,0.89309909602626
5.5,0.921205960075656
5.6,1.07471033301749
5.7,0.795812124906536
5.8,0.971124964556794
5.9,0.96837071652015
6,0.752156047872184
6.1,0.88258111486591
6.2,0.656919205765667
6.3,0.70893112104014
6.4,0.72930562049656
6.5,0.685323180513743
6.6,0.706265787394382
6.7,0.669291223061304
6.8,0.693892203096986
6.9,0.54626717612303
7,0.564902438496037
7.1,0.660401888984621
7.2,0.579663610803522
7.3,0.548541317032369
7.4,0.51582886944895
7.5,0.576515866512907
7.6,0.594120203573798
7.7,0.411110400055847
7.8,0.460423760687454
7.9,0.492239435409581
8,0.437560662278519
8.1,0.309695713130797
8.2,0.361939815361991
8.3,0.36071920096153
8.4,0.355581507647331
8.5,0.399931327989288
8.6,0.417057874168596
8.7,0.34470178173315
8.8,0.348208867225485
8.9,0.346900386886297
9,0.281250399676246
9.1,0.266893266721986
9.2,0.280034322472395
9.3,0.281502740087282
9.4,0.228651457961316
9.5,0.26909940877692
9.6,0.235215571270618
9.7,0.218652377754467
9.8,0.24835212186481
9.9,0.218905388008944
10,0.202220650446488
