Frequency,Voltage
1,4.20691433550946
1.1,3.70040539439362
1.2,4.03292465695001
1.3,3.77243184127676
1.4,3.34851271637053
1.5,3.79644557664263
1.6,3.5736107624043
1.7,4.1402718615349
1.8,3.43605031495098
1.9,3.32832251752595
2,3.00741938225453
2.1,2.65784976305313
2.2,2.55018048859413
2.3,2.87677274046707
2.4,3.1400685954933
2.5,2.70928590761973
2.6,2.77948263094194
2.7,2.33022295454565
2.8,2.44579689392061
2.9,2.23596026764981
3,2.05416519423878
3.1,2.31992252627259
3.2,2.02811165826651
3.3,1.46448472112439
3.4,2.37431896602489
3.5,1.8393172214314
3.6,1.90714017165511
3.7,1.69876997240148
3.8,1.74896747837848
3.9,1.62464571128346
4,1.60529552100599
4.1,1.49780338697959
4.2,1.35684082285458
4.3,1.40169737145506
4.4,1.46377088167511
4.5,1.35007136086105
4.6,1.5643006325916
4.7,1.75989174140244
4.8,1.15970423156836
4.9,1.1102057832324
5,1.05603199908659
5.1,1.03075761630117
5.2,1.08836842550525
5.3,1.10348050560181
5.4,1.04859521038186
5.5,0.877494814759034
5.6,1.12818219265354
5.7,1.03245170506807
5.8,0.823239800744164
5.9,0.859355175854059
6,0.811885095476947
6.1,0.820453982769718
6.2,0.749959319724361
6.3,0.720910393238077
6.4,0.763738214093525
6.5,0.704762406198411
6.6,0.703409517490667
6.7,0.65789221315367
6.8,0.650500889684106
6.9,0.653062781588141
7,0.579918978801873
7.1,0.68876301163907
7.2,0.617011944719413
7.3,0.427037846692709
7.4,0.50988144657909
7.5,0.562773701416965
7.6,0.561209822201489
7.7,0.42919474962574
7.8,0.572052499043415
7.9,0.46250431088271
8,0.386992369803595
8.1,0.417467925920832
8.2,0.395365882519782
8.3,0.478101158771254
8.4,0.317891028671144
8.5,0.353590920793863
8.6,0.385897305804954
8.7,0.387306137894668
8.8,0.296035047589738
8.9,0.386757695472013
9,0.283765575130785
9.1,0.289701843061117
9.2,0.296026640687841
9.3,0.322926846348644
9.4,0.30376409279934
9.5,0.278585136115411
9.6,0.294412959292965
9.7,0.247382007787655
9.8,0.296055199426147
9.9,0.247288434357928
10,0.197401848802594
