Frequency,Voltage
1,4.65158577371087
1.1,4.17049994354146
1.2,4.76303832652575
1.3,5.04582877051873
1.4,3.50848731034366
1.5,3.41702804087113
1.6,3.6645782916899
1.7,2.90886625183929
1.8,3.2962107116605
1.9,2.68702666677193
2,2.97067997958889
2.1,2.76529903513171
2.2,3.1305615541917
2.3,2.83645841661148
2.4,2.94921823631705
2.5,2.98314413806998
2.6,2.92323239177441
2.7,2.28802036663397
2.8,2.79958402935363
2.9,2.35075336052875
3,2.64965006772843
3.1,2.50714071943464
3.2,2.07845899107963
3.3,2.5249703350635
3.4,2.28081218613698
3.5,2.02264082501932
3.6,1.82051644005271
3.7,1.89643315246414
3.8,2.09266257021682
3.9,1.5864272534607
4,1.51306860990365
4.1,1.66155206053809
4.2,1.62135774552122
4.3,1.62376490099246
4.4,1.53460346662941
4.5,1.26588527985316
4.6,1.68253907377638
4.7,1.41068299821522
4.8,1.31827347591245
4.9,1.29019552706515
5,1.2521701017291
5.1,1.2478547215335
5.2,1.17493100381582
5.3,1.0224953827938
5.4,0.953797055685063
5.5,0.860578488638291
5.6,0.875753378829659
5.7,0.870247530674399
5.8,1.05836436462117
5.9,0.96085621178599
6,0.903257674207159
6.1,0.935406789116376
6.2,0.861610099256561
6.3,0.732849761172675
6.4,0.658815064585415
6.5,0.759769584278872
6.6,0.809486330394846
6.7,0.564148038396774
6.8,0.582057118945758
6.9,0.524537854174748
7,0.553593279823079
7.1,0.52173006821267
7.2,0.66551141265805
7.3,0.507134363824977
7.4,0.477679795647951
7.5,0.545202194979927
7.6,0.55158149562509
7.7,0.419285666478537
7.8,0.427399108831545
7.9,0.416328583553751
8,0.412829129081086
8.1,0.410857619752522
8.2,0.393776300320607
8.3,0.38504769255803
8.4,0.383334460812672
8.5,0.365635692167441
8.6,0.35142417012882
8.7,0.366705116498379
8.8,0.310603803688153
8.9,0.323795969199563
9,0.309050088670678
9.1,0.246014551940484
9.2,0.295369449725468
9.3,0.260015663485859
9.4,0.272178420223046
9.5,0.245915207356892
9.6,0.27831655400383
9.7,0.220616090042324
9.8,0.211484474260767
9.9,0.212975938786032
10,0.20944949972525
