Frequency,Voltage
1,4.44930674714467
1.1,3.65101197751602
1.2,3.45163976016751
1.3,3.84574849271239
1.4,3.34820415367378
1.5,3.94358096887728
1.6,3.87786707971369
1.7,3.17035422438163
1.8,3.89495515440089
1.9,2.77832916723078
2,2.63230562764485
2.1,2.44467560200084
2.2,2.38068663741059
2.3,2.72810218731134
2.4,2.43553682188226
2.5,2.65761045684044
2.6,2.46422726414916
2.7,2.17712168662953
2.8,2.152663160165
2.9,2.00476032282453
3,2.16433468391791
3.1,2.00810844108367
3.2,2.16791123199263
3.3,1.43067135945414
3.4,2.25664297135468
3.5,1.6298548786825
3.6,1.92262302582263
3.7,1.42629723101109
3.8,1.78032526705043
3.9,1.43330224934254
4,1.98326544017022
4.1,1.52846851528755
4.2,1.49265876608766
4.3,1.32454072059929
4.4,1.33948173638857
4.5,1.35496098686046
4.6,1.31361745824736
4.7,1.24984486753489
4.8,1.08000011819846
4.9,1.06528010156628
5,1.21340656403409
5.1,1.17701856807553
5.2,1.00582293236876
5.3,1.26244421129456
5.4,1.03300337543338
5.5,1.15761235305345
5.6,0.905067114594653
5.7,1.10533126910947
5.8,0.937657103744714
5.9,0.946713045834199
6,0.757448324287994
6.1,0.84213291363027
6.2,0.977974358453586
6.3,0.788232655522893
6.4,0.769338549903751
6.5,0.813568689952139
6.6,0.77103906190688
6.7,0.691230950339085
6.8,0.697219257953808
6.9,0.707045377088695
7,0.637590663542599
7.1,0.558347585570577
7.2,0.67244601901579
7.3,0.59568306816648
7.4,0.568967757269314
7.5,0.614356627825869
7.6,0.445063069153388
7.7,0.582714233680088
7.8,0.50968638836631
7.9,0.511421775994807
8,0.519097803010606
8.1,0.390414168599805
8.2,0.538753180351153
8.3,0.425402068156297
8.4,0.333370832066047
8.5,0.344554670249871
8.6,0.447480087706706
8.7,0.38929018011602
8.8,0.369029778206452
8.9,0.371428143316247
9,0.316897137347802
9.1,0.351650250064721
9.2,0.312647158013481
9.3,0.327733421312929
9.4,0.363598173900414
9.5,0.320249201831038
9.6,0.335734811169304
9.7,0.318521559304804
9.8,0.277507600860675
9.9,0.262094977329317
10,0.277777569188324
