Frequency,Voltage
1,3.74063235998473
1.1,4.14270377935954
1.2,3.56242853464021
1.3,3.28437237689464
1.4,3.27461266625404
1.5,2.37993980490027
1.6,3.05236531197001
1.7,2.89305626755925
1.8,2.83094087230014
1.9,2.84085555871097
2,2.41737642699513
2.1,2.30138330528645
2.2,2.77918216761162
2.3,2.37338833879163
2.4,2.35323629069619
2.5,2.57591878549519
2.6,2.25756476791816
2.7,2.42799684937304
2.8,2.25098862182307
2.9,2.07085867760474
3,2.0503359959783
3.1,1.82454466342011
3.2,2.08157992435734
3.3,2.10342444080957
3.4,1.97834416042209
3.5,1.86069148572018
3.6,1.62314902285819
3.7,1.43292515948064
3.8,1.56013022534197
3.9,1.80615300700111
4,1.64808103981666
4.1,1.44081506075114
4.2,1.32629537947787
4.3,1.27796589563112
4.4,1.25925998318412
4.5,1.30521462717919
4.6,1.25055672307386
4.7,1.16455969194722
4.8,1.09833011317551
4.9,1.18308500165563
5,1.1818580306319
5.1,1.10385077320359
5.2,0.907668885964385
5.3,0.899111977855942
5.4,1.07292894949396
5.5,0.964092682901254
5.6,0.86826496186399
5.7,1.19898144561957
5.8,1.02247401007772
5.9,0.947506649775634
6,0.862810165909281
6.1,0.827528637482769
6.2,1.0056499855376
6.3,0.72160568030845
6.4,0.835855544121439
6.5,0.7871504467512
6.6,0.770992064182866
6.7,0.698498176322625
6.8,0.819566185325958
6.9,0.741409173531623
7,0.554170264240124
7.1,0.647140853829282
7.2,0.645351110024643
7.3,0.581235650302528
7.4,0.585367289329774
7.5,0.635626252572179
7.6,0.554148151305051
7.7,0.623813759451534
7.8,0.466926342866528
7.9,0.474088148710294
8,0.469623843971329
8.1,0.490983885838675
8.2,0.474011953065369
8.3,0.485234158645218
8.4,0.455743693505537
8.5,0.430405924379415
8.6,0.434070491070658
8.7,0.449482551266662
8.8,0.414109954854166
8.9,0.314947831753749
9,0.329917396493253
9.1,0.288466822879376
9.2,0.410225889286626
9.3,0.319040878302982
9.4,0.317804845698797
9.5,0.260621767533166
9.6,0.279810381864134
9.7,0.322788020230263
9.8,0.256056328548404
9.9,0.32990071113593
10,0.23185570292128
