Frequency,Voltage
1,4.07303223820218
1.1,4.67164343328887
1.2,3.68293612517933
1.3,4.83087239557965
1.4,3.68913927657262
1.5,3.30076009374397
1.6,3.07622307530615
1.7,3.30497555743624
1.8,3.31777990645797
1.9,3.07722515594423
2,2.88258715912196
2.1,3.17199108412469
2.2,2.68590160612116
2.3,2.88828246306066
2.4,2.64903330302176
2.5,2.80646282350399
2.6,2.18213584662012
2.7,2.71803658344884
2.8,2.15670316205415
2.9,2.12595630378817
3,2.48014252203813
3.1,2.57872631963191
3.2,2.01453268341306
3.3,2.07795084141376
3.4,1.74745063751245
3.5,1.62352346557294
3.6,2.07674139022754
3.7,1.92706208667249
3.8,1.72519858617055
3.9,1.59163227836784
4,1.43334678572175
4.1,1.48623580362598
4.2,1.76678264606559
4.3,1.43821997191891
4.4,1.50992992975713
4.5,1.39412346388487
4.6,1.16996717650996
4.7,1.09104479817626
4.8,1.39244112208166
4.9,1.24105659588597
5,1.56226066615665
5.1,1.12092377865958
5.2,1.17581036218059
5.3,1.08248113729056
5.4,0.968007840916673
5.5,0.921596319494076
5.6,0.875561256976279
5.7,1.03736225847614
5.8,0.858415935333038
5.9,0.797682166464502
6,0.836192919334954
6.1,0.769982404969643
6.2,0.788735957502141
6.3,0.640795512081234
6.4,0.66355604428768
6.5,0.728522583648606
6.6,0.648949202547785
6.7,0.636441764966359
6.8,0.790709889542434
6.9,0.723446669902092
7,0.602556645986367
7.1,0.528915470136629
7.2,0.525701923298767
7.3,0.697906370256732
7.4,0.534483265851021
7.5,0.538571844546618
7.6,0.509145447345323
7.7,0.550362973152121
7.8,0.440665398003391
7.9,0.427945924771638
8,0.373105434260386
8.1,0.37080413684505
8.2,0.429696213513437
8.3,0.401445547545427
8.4,0.423482657262534
8.5,0.36067566730146
8.6,0.384772824905608
8.7,0.383618710922741
8.8,0.417843760868451
8.9,0.330801541459004
9,0.317177629716582
9.1,0.315580302063214
9.2,0.305127133273592
9.3,0.288281025001402
9.4,0.34249109797323
9.5,0.311164818001695
9.6,0.252722249924972
9.7,0.27996288833131
9.8,0.282594209312358
9.9,0.220081276584294
10,0.210144622701368
