Frequency,Voltage
1,4.44349045943776
1.1,4.6573214883221
1.2,3.89840803754271
1.3,4.21537961281251
1.4,4.09447163364716
1.5,3.68444440357034
1.6,3.0466887188963
1.7,3.64949930469963
1.8,3.29508347984023
1.9,3.69035038979154
2,2.8120865944274
2.1,2.96184123380165
2.2,2.72837796382612
2.3,2.31117362410947
2.4,2.42315201461164
2.5,2.14275498045594
2.6,2.99252308640526
2.7,2.50615236855284
2.8,2.51634674863969
2.9,2.34261945794446
3,2.48673959038151
3.1,2.50597121155228
3.2,2.00198745966248
3.3,1.83343720216031
3.4,2.18528230486509
3.5,2.37321481692655
3.6,1.79496062231136
3.7,1.64693716659287
3.8,1.77984791613499
3.9,1.51698177419646
4,1.49361802141372
4.1,1.67378399164385
4.2,1.48186258551369
4.3,1.54684164960696
4.4,1.3512415239639
4.5,1.45965565437746
4.6,1.37977141542699
4.7,1.36005113976696
4.8,1.40683263057758
4.9,1.3220675422195
5,1.00533858729249
5.1,1.36433612058641
5.2,0.971711683135976
5.3,0.893231156158546
5.4,1.13639658406811
5.5,0.924717147911109
5.6,0.801008344983418
5.7,0.93405511018937
5.8,1.0925463222203
5.9,0.962705142183993
6,0.913721430133644
6.1,0.74176195256964
6.2,0.737556173080774
6.3,0.849500150181302
6.4,0.85676791316587
6.5,0.812332052489892
6.6,0.744061057863
6.7,0.615334056498112
6.8,0.648017351971199
6.9,0.723410780239104
7,0.713488533660775
7.1,0.624570478999156
7.2,0.587616799970574
7.3,0.582815614853625
7.4,0.520055077439972
7.5,0.575619427184315
7.6,0.523457454133114
7.7,0.519644060138828
7.8,0.473012781869079
7.9,0.480142952270649
8,0.423322300112549
8.1,0.512675983827032
8.2,0.410896097852038
8.3,0.439314746459299
8.4,0.326029253038799
8.5,0.424205651831929
8.6,0.358453392299742
8.7,0.383302157841812
8.8,0.334269157123894
8.9,0.361822645894236
9,0.310242742675642
9.1,0.303591632154549
9.2,0.278683465940852
9.3,0.25577122491872
9.4,0.300509977436823
9.5,0.311651747189914
9.6,0.27446019218807
9.7,0.244939407801952
9.8,0.225893423531108
9.9,0.222519776168917
10,0.284120464432316
