Frequency,Voltage
1,4.3738562379006
1.1,4.66505619874559
1.2,5.31669839102103
1.3,5.00067886153323
1.4,3.96754157900196
1.5,4.22630320235452
1.6,4.49063154080778
1.7,3.31573681450457
1.8,3.89754903904162
1.9,4.13121341694063
2,3.65738916814518
2.1,3.61851468321071
2.2,3.08183458404366
2.3,2.61153412946309
2.4,2.67223518876315
2.5,3.25934961646103
2.6,2.70835365044853
2.7,2.82784185319949
2.8,2.26365296128293
2.9,2.02422454844618
3,1.90189625892817
3.1,2.33265952624677
3.2,1.76200817021564
3.3,2.44923466227041
3.4,2.29954375885253
3.5,2.03978166461297
3.6,2.12262573553895
3.7,1.82787140660567
3.8,1.48611958702151
3.9,1.70407972227124
4,1.55851092146294
4.1,1.82930725850381
4.2,1.61307982163699
4.3,1.56921823121717
4.4,1.40168456045657
4.5,1.28607967894458
4.6,1.39787997497192
4.7,1.25733386640958
4.8,1.45932130869454
4.9,1.1827905798218
5,1.09523529600666
5.1,1.12139081898819
5.2,1.23430362196212
5.3,1.01157137440452
5.4,1.02485633715896
5.5,0.862605675457385
5.6,0.978346194265984
5.7,0.89896031983224
5.8,0.863119501253595
5.9,0.885188908364928
6,0.845518032845074
6.1,0.814755021050208
6.2,1.06398180163364
6.3,0.845230427237412
6.4,0.871143865772837
6.5,0.839985119714955
6.6,0.667726675293378
6.7,0.632592302337345
6.8,0.543215520047265
6.9,0.56272746075255
7,0.582680993397541
7.1,0.574154238399832
7.2,0.578560170281352
7.3,0.549655133257011
7.4,0.464272432454453
7.5,0.489151977709844
7.6,0.58139753271106
7.7,0.458163652533256
7.8,0.416153838925281
7.9,0.429981185218871
8,0.440925104094494
8.1,0.396302065264464
8.2,0.381486847425643
8.3,0.371798179369028
8.4,0.4191638758132
8.5,0.391176804327882
8.6,0.322178676317563
8.7,0.311507661522185
8.8,0.272398980199324
8.9,0.351319287527806
9,0.299871947476785
9.1,0.285916970565748
9.2,0.288296052545221
9.3,0.240095522633704
9.4,0.241056546380584
9.5,0.260377874907821
9.6,0.239179694906289
9.7,0.194122771349871
9.8,0.21350535895977
9.9,0.229035558654317
10,0.2400648753511
