Frequency,Voltage
1,4.55420294576804
1.1,4.95189481597596
1.2,4.97741693443474
1.3,4.47402031070288
1.4,4.29303197791513
1.5,4.08979517335764
1.6,3.88478174192322
1.7,3.86341466186911
1.8,3.54023432443921
1.9,2.97959855753918
2,3.805678333174
2.1,3.09748980818903
2.2,3.1570837164862
2.3,3.02815740331563
2.4,3.167292627788
2.5,3.33467978120895
2.6,2.22656937383155
2.7,2.75305899637359
2.8,2.47967371171666
2.9,2.17386229843
3,2.32223385780197
3.1,2.28693110619473
3.2,2.80466360208377
3.3,1.87113867716787
3.4,2.5373041349587
3.5,2.02492829415021
3.6,2.1187078910176
3.7,1.80306114354317
3.8,1.63557480019861
3.9,1.87394431158265
4,1.83230659756109
4.1,1.79298316105217
4.2,1.54185087626484
4.3,1.6833868054155
4.4,1.44283042618559
4.5,1.62121078491201
4.6,1.39197488875401
4.7,1.29202231629211
4.8,1.07984909934335
4.9,1.55331487336544
5,1.28100905953155
5.1,1.10415842727058
5.2,1.13401190080721
5.3,1.03929950791174
5.4,0.972838664130155
5.5,0.921142304388533
5.6,0.826187350663581
5.7,1.06936485054746
5.8,0.981441094450938
5.9,0.852081962562725
6,0.807308392279208
6.1,0.895537228276778
6.2,0.650006729342105
6.3,0.567398002576784
6.4,0.668873013164538
6.5,0.639135341381153
6.6,0.781894630605602
6.7,0.60230005575813
6.8,0.533549872787286
6.9,0.524802306042676
7,0.56189861549401
7.1,0.611144163083577
7.2,0.425389958515941
7.3,0.504159932391686
7.4,0.474986101611855
7.5,0.556434380166521
7.6,0.588101195641745
7.7,0.487300859266534
7.8,0.479837071625548
7.9,0.403656106921474
8,0.374856505007686
8.1,0.39759666746089
8.2,0.417546775955137
8.3,0.466505693906012
8.4,0.370775117804191
8.5,0.315982422989725
8.6,0.30521928377472
8.7,0.290329716963468
8.8,0.334465613494947
8.9,0.314579911977421
9,0.296695411379905
9.1,0.296165691459448
9.2,0.269965133607166
9.3,0.249307306826868
9.4,0.265389836951582
9.5,0.260066574494689
9.6,0.21362620740322
9.7,0.181137365554371
9.8,0.2066881691433
9.9,0.189792136247834
10,0.188007081827572
