Frequency,Voltage
1,4.31245175149505
1.1,4.47358952042823
1.2,4.36287311822351
1.3,4.47458460122792
1.4,4.22177373865328
1.5,3.4041829098914
1.6,4.18992959764595
1.7,3.71624882496866
1.8,3.62794515399402
1.9,3.54333029597809
2,3.38932741493186
2.1,3.12245635728309
2.2,2.80605810742594
2.3,2.90919878132676
2.4,2.77686984451309
2.5,3.03977661565768
2.6,3.43819550753628
2.7,2.43579188516724
2.8,2.74619133901958
2.9,2.54647354378956
3,2.39342906426344
3.1,2.45473868376933
3.2,2.30697293959543
3.3,2.15114368474525
3.4,1.80617833051827
3.5,1.83670074907473
3.6,2.20394516056906
3.7,2.00911666963216
3.8,1.87747782553426
3.9,1.97584875704584
4,1.74917628765808
4.1,1.62874258647459
4.2,1.51548942256865
4.3,1.43414572464409
4.4,1.44667183433503
4.5,1.21169494434588
4.6,1.32314223496548
4.7,1.50919369495185
4.8,1.24979720134553
4.9,1.25033666410757
5,1.22003011567566
5.1,1.42919139700725
5.2,0.998124781084344
5.3,0.934734288527559
5.4,1.10332211301327
5.5,1.08555444612406
5.6,0.915131069540634
5.7,0.85182226120147
5.8,0.885323044142495
5.9,0.811772928805315
6,0.885380808248046
6.1,0.830576013790449
6.2,0.563707261696062
6.3,0.7695565708535
6.4,0.665525078268823
6.5,0.658340781717482
6.6,0.701214784690441
6.7,0.622793062299686
6.8,0.560097097181151
6.9,0.606584628335035
7,0.554882946332875
7.1,0.553170645655189
7.2,0.471909482314591
7.3,0.589816112566243
7.4,0.509182101675871
7.5,0.509477749705136
7.6,0.431458033046737
7.7,0.462935516849121
7.8,0.516657364639441
7.9,0.435502841176941
8,0.474800782217806
8.1,0.433846085873155
8.2,0.403220872612519
8.3,0.383485075127088
8.4,0.359560066237098
8.5,0.394241189753335
8.6,0.364669755868747
8.7,0.292243334046403
8.8,0.370771408345984
8.9,0.312636153654924
9,0.323922072708749
9.1,0.306209183510118
9.2,0.318845279141472
9.3,0.247071779320881
9.4,0.257641597664239
9.5,0.245969661600519
9.6,0.284057342304053
9.7,0.298772012110677
9.8,0.220804963587153
9.9,0.231135943105644
10,0.185798095100018
