Frequency,Voltage
1,4.34812594097439
1.1,3.52927036948796
1.2,3.76697199717205
1.3,3.83018293339834
1.4,3.8771966303772
1.5,3.50982811641696
1.6,3.50685647335331
1.7,3.72371906416784
1.8,3.60470260446485
1.9,2.9160090466466
2,3.06086489172182
2.1,3.3827108806409
2.2,2.85579142360972
2.3,2.73056478796698
2.4,3.04028113006394
2.5,2.79540537573248
2.6,2.32048115674957
2.7,2.40264067123736
2.8,2.0802516663212
2.9,2.20060894520162
3,2.39211586388473
3.1,1.86303964763587
3.2,2.27478996110804
3.3,1.91555795735117
3.4,1.79930204066168
3.5,1.73743018462442
3.6,1.46460070302706
3.7,1.73991965363556
3.8,1.51704913348821
3.9,1.3948157475718
4,1.59821568859397
4.1,1.46132650663665
4.2,1.44321745045085
4.3,1.4739270897539
4.4,1.43426823288355
4.5,1.32037516704888
4.6,1.28801649789014
4.7,1.23436535910736
4.8,1.21337918010568
4.9,1.09878749508666
5,1.02604881914248
5.1,1.0127211570151
5.2,1.15796438421752
5.3,1.06516437646057
5.4,1.12893963082455
5.5,1.12524254978058
5.6,0.89793024412601
5.7,0.845140561805143
5.8,0.755828244656025
5.9,0.863915057029297
6,0.916372403916741
6.1,0.962776253264086
6.2,0.80941795538532
6.3,0.743178740551059
6.4,0.771357981820847
6.5,0.673610410869468
6.6,0.715225506532774
6.7,0.68140785119926
6.8,0.588223731335205
6.9,0.62391755014958
7,0.654991790266935
7.1,0.698924527084017
7.2,0.620677641549371
7.3,0.691416905282342
7.4,0.514829913517966
7.5,0.544798009471966
7.6,0.509753227383726
7.7,0.509827769465429
7.8,0.437203331246359
7.9,0.467030923827248
8,0.443149921748533
8.1,0.42701765600165
8.2,0.414235198106564
8.3,0.405750863752368
8.4,0.403896372527507
8.5,0.445220853092092
8.6,0.364957861574911
8.7,0.367184085130749
8.8,0.301994943424133
8.9,0.351573618763223
9,0.337172499072478
9.1,0.303847723896867
9.2,0.326018555268852
9.3,0.295886310039566
9.4,0.287206991615216
9.5,0.255476580469974
9.6,0.302625048564798
9.7,0.24499656185676
9.8,0.263212030793988
9.9,0.255387001692876
10,0.262811991927432
