Frequency,Voltage
1,4.65843768839773
1.1,4.07496740316612
1.2,4.43068052649205
1.3,4.04247435623024
1.4,3.49368028239814
1.5,4.1943493800874
1.6,3.57134145608874
1.7,2.95494050360268
1.8,3.03793277439156
1.9,2.87445924166579
2,2.44411301192098
2.1,2.95077561443949
2.2,2.9548542864319
2.3,2.93951743763232
2.4,2.83926662339204
2.5,2.74484510812354
2.6,2.35283722636912
2.7,2.20268743276403
2.8,2.46205012073449
2.9,2.16103534118088
3,2.26200497406314
3.1,2.04164735883662
3.2,2.04574216305688
3.3,2.25664477306275
3.4,1.84816217585791
3.5,1.4762222020901
3.6,1.77204423350226
3.7,1.81613016341332
3.8,1.93136877088313
3.9,1.61940454600302
4,1.61762582791755
4.1,1.65287130786477
4.2,1.61552990821151
4.3,1.64099284086656
4.4,1.30371740848969
4.5,1.45707405892427
4.6,1.26029011739295
4.7,1.30696137631434
4.8,1.4268138796578
4.9,1.15301652316137
5,1.36901984811757
5.1,1.13252348734642
5.2,1.03947985908211
5.3,1.14202691330446
5.4,0.93418575506658
5.5,0.955580946430352
5.6,0.935418904672658
5.7,0.859348385674825
5.8,0.967209447832943
5.9,0.969464895214935
6,0.797234413130303
6.1,0.891721255532712
6.2,0.72059927921061
6.3,0.817394498372791
6.4,0.687229748122335
6.5,0.665138184129526
6.6,0.779189866761342
6.7,0.652695463393819
6.8,0.585532765186975
6.9,0.640572506381833
7,0.558792718440957
7.1,0.497166028085079
7.2,0.560495986737021
7.3,0.471034334439685
7.4,0.534302592219089
7.5,0.413711748139298
7.6,0.471383349073225
7.7,0.475854589635837
7.8,0.46143670640377
7.9,0.466042476917713
8,0.396764646187299
8.1,0.439597565808711
8.2,0.427082137872485
8.3,0.378626516700333
8.4,0.563048588418836
8.5,0.429135850437167
8.6,0.404851952770891
8.7,0.357897403340041
8.8,0.287247922779397
8.9,0.307568023107529
9,0.305605757328885
9.1,0.322306393141362
9.2,0.280705351450823
9.3,0.301264058304891
9.4,0.309351391366255
9.5,0.267605635978743
9.6,0.235614737954117
9.7,0.263057541256326
9.8,0.260526480892039
9.9,0.210815811421303
10,0.265358579729069
