Frequency,Voltage
1,4.35710763331596
1.1,5.15319401001044
1.2,4.32861789283784
1.3,4.04022460781658
1.4,4.53869285927454
1.5,3.91064768942789
1.6,3.86937007672874
1.7,3.09024383499172
1.8,3.10355018421258
1.9,3.63294655116505
2,3.1046547668167
2.1,3.32105501716059
2.2,3.27131770047008
2.3,2.51922993835214
2.4,3.14257795785906
2.5,2.9957017333204
2.6,2.60046780651648
2.7,2.85657447580873
2.8,2.26375555947831
2.9,2.80074648132129
3,2.32745206483098
3.1,1.89582187984034
3.2,1.92587173058912
3.3,2.01319742177801
3.4,2.14612702485352
3.5,1.7738852559185
3.6,1.86151810613669
3.7,2.01783018294986
3.8,1.69384797990958
3.9,1.60173558382845
4,1.88854021791584
4.1,1.54137085076618
4.2,1.59906843883042
4.3,1.55572313166677
4.4,1.50673948574751
4.5,1.35797133127833
4.6,1.3016811991324
4.7,1.19743222596098
4.8,1.50145149030668
4.9,1.2194303458909
5,1.0565037427922
5.1,1.28832888960029
5.2,1.17744602788306
5.3,0.967111545123831
5.4,0.880251064740735
5.5,1.04269741965715
5.6,0.994014575083534
5.7,0.953449500343852
5.8,0.726228942891068
5.9,0.919984414841884
6,0.881936047078322
6.1,0.914468577086713
6.2,0.806555468193983
6.3,0.69559894452044
6.4,0.670696292352453
6.5,0.613734746118073
6.6,0.801595357014747
6.7,0.632483071847903
6.8,0.588507818948124
6.9,0.526005803317485
7,0.674762080307168
7.1,0.626917874155188
7.2,0.519466269243147
7.3,0.590169292581635
7.4,0.488563245306633
7.5,0.473241841873442
7.6,0.46478928144043
7.7,0.409807577769834
7.8,0.413070391791341
7.9,0.435524476044912
8,0.405676114843858
8.1,0.396201998792369
8.2,0.410047111987417
8.3,0.407484766992789
8.4,0.381858695261899
8.5,0.323548292776675
8.6,0.372178854954167
8.7,0.350397024448488
8.8,0.327015733622054
8.9,0.383696170915831
9,0.384422473145892
9.1,0.332013628345083
9.2,0.248197974210457
9.3,0.282419462261263
9.4,0.284962716702976
9.5,0.273633598597097
9.6,0.239636010440622
9.7,0.300297888590793
9.8,0.207320228420329
9.9,0.212748641931625
10,0.189323462677776
