Frequency,Voltage
1,3.73940895862649
1.1,3.1146738903097
1.2,3.28241000861154
1.3,3.48270044172581
1.4,3.18715069282971
1.5,3.57042632373215
1.6,2.81554097109785
1.7,2.8899592783899
1.8,3.49625204439588
1.9,3.14617058670907
2,2.33494783278516
2.1,2.72316823362312
2.2,2.68930589643993
2.3,2.29773982898235
2.4,3.03923110083924
2.5,2.27371791258212
2.6,2.5545257389391
2.7,2.54306235600783
2.8,2.34873643668505
2.9,2.20285325269617
3,2.22273817797546
3.1,1.84200948942368
3.2,1.78676503296978
3.3,1.86059615033123
3.4,1.48372719374816
3.5,1.74009109152341
3.6,2.24270176273631
3.7,1.76600322146733
3.8,1.70426213699927
3.9,1.57532570662887
4,1.54467421473191
4.1,1.4094076426046
4.2,1.68767167743676
4.3,1.37654038544942
4.4,1.43091802801979
4.5,1.22969370500141
4.6,1.19561408353703
4.7,1.19318701649523
4.8,1.15213852220434
4.9,1.02927821917709
5,1.15293982171954
5.1,0.973141118942769
5.2,1.10212457931891
5.3,1.11511189518177
5.4,1.10451641610986
5.5,1.09431895267645
5.6,1.15640467494104
5.7,0.866645954903589
5.8,0.840590801644938
5.9,0.996336520667401
6,0.993946302209365
6.1,0.800379929602853
6.2,0.75901828112015
6.3,0.749390732848557
6.4,0.661914309424388
6.5,0.762097971776272
6.6,0.770419865206077
6.7,0.882871659561518
6.8,0.655425086841631
6.9,0.6493510032835
7,0.664867234598793
7.1,0.639753212100125
7.2,0.757294645234561
7.3,0.60628465417753
7.4,0.696597331643611
7.5,0.603083095918141
7.6,0.621752182137179
7.7,0.471678074309291
7.8,0.589288112210043
7.9,0.448950545696873
8,0.543617546639337
8.1,0.411270453962526
8.2,0.590564879948109
8.3,0.467148188110457
8.4,0.43304487355926
8.5,0.40374040044607
8.6,0.401146682416357
8.7,0.391983964010788
8.8,0.380310103121727
8.9,0.376912872279536
9,0.318217570466966
9.1,0.329491708341869
9.2,0.34897335840053
9.3,0.325257786156483
9.4,0.302104606159734
9.5,0.327420185240082
9.6,0.324185833430686
9.7,0.278106440477748
9.8,0.25264903397574
9.9,0.301268546733741
10,0.256321751497518
