Frequency,Voltage
1,5.03034940256386
1.1,4.08941579890883
1.2,4.21158763146682
1.3,3.94446497299201
1.4,3.64940266032531
1.5,4.48974013169979
1.6,3.78006524964616
1.7,3.56342616292696
1.8,4.25648178311781
1.9,3.45744872274936
2,3.24511119189468
2.1,3.07889784961328
2.2,2.96257530974884
2.3,2.64042012147507
2.4,2.91310328654541
2.5,3.30265992984601
2.6,2.07869464827027
2.7,2.855953443292
2.8,2.69751562163141
2.9,2.7375471137983
3,2.41353585347415
3.1,2.29345418523829
3.2,2.37407876038853
3.3,1.93911384041558
3.4,1.49763040024413
3.5,1.98839130847549
3.6,1.80631526795982
3.7,2.06365557160657
3.8,1.48801943689852
3.9,1.52003115803316
4,1.65216252460179
4.1,1.65223873711778
4.2,1.68293672076859
4.3,1.56856037958799
4.4,1.58552233826814
4.5,1.40800597495305
4.6,1.35075929404444
4.7,1.41999460495616
4.8,1.22861801668194
4.9,1.01859792373002
5,1.43788409496467
5.1,1.25751811941571
5.2,1.13645883476251
5.3,1.03122501151729
5.4,1.06073113654486
5.5,1.10586160771038
5.6,1.08241862744002
5.7,1.04114747541952
5.8,0.82161796619099
5.9,0.92959358681886
6,0.803110211160147
6.1,0.764648880607355
6.2,0.657638093491434
6.3,0.813447674846659
6.4,0.838453778545641
6.5,0.573959718913167
6.6,0.614681116819629
6.7,0.809030491842286
6.8,0.615918838053227
6.9,0.708261581335575
7,0.567907005121438
7.1,0.656777017869284
7.2,0.532376080052757
7.3,0.576908378569297
7.4,0.473193072008814
7.5,0.456068474300143
7.6,0.537837955845101
7.7,0.468869764937292
7.8,0.468725644871811
7.9,0.471053016568485
8,0.523110807454325
8.1,0.382756886510215
8.2,0.349417037313886
8.3,0.363251983293427
8.4,0.429976647780576
8.5,0.326378670545908
8.6,0.355757296143261
8.7,0.374466251161758
8.8,0.413424793261859
8.9,0.329424552013298
9,0.289203704764012
9.1,0.306414131803312
9.2,0.29352824667315
9.3,0.340127833733895
9.4,0.229997905670688
9.5,0.300686193276214
9.6,0.290045300115214
9.7,0.271026218677092
9.8,0.243015282513887
9.9,0.251760858928158
10,0.182847499209428
