Frequency,Voltage
1,4.11600024898919
1.1,4.84852993626569
1.2,4.62778689144015
1.3,3.66692957838304
1.4,4.03602799786817
1.5,3.40901103693966
1.6,3.85837446728492
1.7,4.23194689318268
1.8,3.18587891677777
1.9,2.95523174979028
2,2.74203860908683
2.1,3.35810054006026
2.2,3.07079493092754
2.3,3.05585754163975
2.4,2.65674613619915
2.5,2.40597111493734
2.6,2.40366638222096
2.7,2.32034718779485
2.8,2.18752276024831
2.9,2.31730780208184
3,2.17829311735991
3.1,2.42220766956289
3.2,1.9994142433957
3.3,2.20390082112716
3.4,1.78052980484461
3.5,2.31091097831998
3.6,1.87756717864996
3.7,1.78295775209566
3.8,1.66222135651429
3.9,1.58829904848572
4,1.54574094999291
4.1,1.51656481277124
4.2,1.73091411537553
4.3,1.55393160067121
4.4,1.42734653860262
4.5,1.24863163202857
4.6,1.12830927303943
4.7,1.55239064777069
4.8,1.23538017624611
4.9,1.19681991600527
5,1.04935288999385
5.1,1.20967199357618
5.2,1.00622094461425
5.3,1.16531003489049
5.4,0.815677099868136
5.5,1.04298718569996
5.6,0.986170215701999
5.7,0.985641320427608
5.8,0.878241245703169
5.9,0.690428598650017
6,0.772870990206715
6.1,1.08098657055262
6.2,0.879805248298561
6.3,0.713111305425535
6.4,0.78501900997903
6.5,0.758665650855998
6.6,0.547867466019583
6.7,0.657561504766794
6.8,0.536629087995384
6.9,0.714907231962383
7,0.677622532440613
7.1,0.692267052602113
7.2,0.708774542085364
7.3,0.563893689434346
7.4,0.51379163803282
7.5,0.540191912969895
7.6,0.519073844276308
7.7,0.483538955753174
7.8,0.467507972861799
7.9,0.416200992156448
8,0.448331261811352
8.1,0.377535120937157
8.2,0.429587663238309
8.3,0.430961462090053
8.4,0.419427802406025
8.5,0.415517457953741
8.6,0.387701225679808
8.7,0.388814816349808
8.8,0.344292627876825
8.9,0.321239840562616
9,0.371602045322763
9.1,0.260213602145575
9.2,0.271186471340761
9.3,0.270901224340883
9.4,0.301214319672425
9.5,0.239823480180329
9.6,0.265122426170721
9.7,0.271108216986956
9.8,0.241440504470886
9.9,0.258620701423514
10,0.249432076783065
