Frequency,Voltage
1,4.82766188859607
1.1,3.67327037776094
1.2,4.25139019681388
1.3,3.58810215358011
1.4,3.32559049950306
1.5,3.51193203441768
1.6,3.27498690573423
1.7,3.55227115324568
1.8,3.07789571204913
1.9,2.67288278665015
2,2.8648126506329
2.1,2.56977354465713
2.2,3.28039404023511
2.3,2.91192335268872
2.4,2.78694776165126
2.5,2.84013320139992
2.6,2.48913319319904
2.7,2.31194742971581
2.8,1.88500840805407
2.9,2.58315844520131
3,2.09713901424263
3.1,2.21296926432781
3.2,2.04294011872819
3.3,2.08186589445748
3.4,1.88597438981581
3.5,1.74614949783619
3.6,1.93970011102722
3.7,2.02513250641595
3.8,1.50031914952632
3.9,1.95401602796296
4,1.93051455449592
4.1,1.66909692435427
4.2,1.65562754268226
4.3,1.33043141311376
4.4,1.51842085057784
4.5,1.42199095763611
4.6,1.5102415292117
4.7,1.43461247831981
4.8,1.24221961498438
4.9,1.27917485454965
5,1.25711494120644
5.1,1.03923136113942
5.2,1.18864185020716
5.3,1.0490286976689
5.4,1.03884416356388
5.5,1.0977071283577
5.6,1.01839823321728
5.7,1.06747829358045
5.8,0.855729572085035
5.9,0.836891364672482
6,0.825843706727742
6.1,0.813247258594319
6.2,0.816695183827653
6.3,0.725546510072662
6.4,0.949547333799832
6.5,0.763449692384906
6.6,0.832971928409939
6.7,0.643826595287567
6.8,0.605436280433125
6.9,0.58182021733888
7,0.661230243994543
7.1,0.636611048052318
7.2,0.540900112402616
7.3,0.468169826975888
7.4,0.481791102369131
7.5,0.536135138481251
7.6,0.558388786103058
7.7,0.598177635106344
7.8,0.521928693492339
7.9,0.508827346193482
8,0.449350276475084
8.1,0.413108594004349
8.2,0.353718526905657
8.3,0.432699433039091
8.4,0.353851207955149
8.5,0.300733941885762
8.6,0.427854566224319
8.7,0.364748038839273
8.8,0.371010063567269
8.9,0.307889726387236
9,0.327658397249105
9.1,0.328617783821588
9.2,0.393367803907147
9.3,0.325656414423095
9.4,0.275092837203631
9.5,0.277944120726361
9.6,0.248096236815799
9.7,0.299843047358207
9.8,0.250603447652714
9.9,0.28875281732508
10,0.237802866900135
