Frequency,Voltage
1,4.2143089091134
1.1,4.24837186338783
1.2,3.94177648599092
1.3,3.86147910922423
1.4,3.76698935206661
1.5,3.10681651177017
1.6,3.60346482205293
1.7,2.98140351831126
1.8,3.35370123765136
1.9,2.74025738984546
2,3.30830744575351
2.1,2.99643137257016
2.2,3.01503301041731
2.3,2.52393029936567
2.4,2.83134887578241
2.5,2.35368780330921
2.6,2.36999376094165
2.7,2.32120782051158
2.8,2.43327843851873
2.9,2.54733540892551
3,2.12255092302102
3.1,2.06335535255788
3.2,2.10598825782388
3.3,1.8508277083565
3.4,2.21968865344098
3.5,2.06737521567837
3.6,1.98183121604389
3.7,1.66923485169837
3.8,1.44669242279717
3.9,1.50711545841034
4,1.662265821707
4.1,1.44889379460362
4.2,1.54438437975293
4.3,1.35665884167264
4.4,1.4356685364739
4.5,1.3387763749955
4.6,1.37540664526329
4.7,1.08509512945225
4.8,1.41767607958963
4.9,1.18105028435768
5,1.21366929287997
5.1,1.36353791819808
5.2,1.09879900640401
5.3,1.1932905915693
5.4,0.998254017618872
5.5,1.10806058535149
5.6,1.0156052961159
5.7,0.940621312191118
5.8,0.885543455556945
5.9,0.933530349369023
6,0.779656239788669
6.1,0.757493675943587
6.2,0.887594616919624
6.3,0.833167666184939
6.4,0.800421129658722
6.5,0.705153324612288
6.6,0.711495822563855
6.7,0.59524799715142
6.8,0.586237797093682
6.9,0.674941940845025
7,0.563870916600705
7.1,0.616936364308851
7.2,0.504836949549126
7.3,0.546955353785543
7.4,0.504768787390607
7.5,0.568250304801403
7.6,0.521561810441209
7.7,0.519092009958731
7.8,0.436680489363118
7.9,0.421547552514241
8,0.405833460214023
8.1,0.496589864312134
8.2,0.459407529471061
8.3,0.427255791845856
8.4,0.375654071813861
8.5,0.353875186086642
8.6,0.421831168379503
8.7,0.389206280995795
8.8,0.32169389895425
8.9,0.410431429206032
9,0.28284619530991
9.1,0.337922728051033
9.2,0.339242342538405
9.3,0.312163240198999
9.4,0.270606055270462
9.5,0.296318509833273
9.6,0.274205505574518
9.7,0.277055221615649
9.8,0.255054221774006
9.9,0.268623204732742
10,0.235272804880608
