Frequency,Voltage
1,3.77097016135057
1.1,3.75556244133059
1.2,4.40629331630313
1.3,4.23244609104489
1.4,3.67293571617772
1.5,4.02923929277548
1.6,3.56469256379973
1.7,2.93399331239098
1.8,2.96858057111524
1.9,2.91871010991192
2,2.94650167757577
2.1,3.02032049003784
2.2,2.9198083435234
2.3,2.60144731758573
2.4,2.77515851836884
2.5,2.34955881419587
2.6,2.60394647822157
2.7,2.02628301047491
2.8,2.33041630893369
2.9,2.51134721302047
3,2.25313798873049
3.1,2.4722989283595
3.2,2.03064034828693
3.3,2.05750306988924
3.4,1.86874324655082
3.5,1.84283239532273
3.6,1.96478750944474
3.7,1.84625560302783
3.8,1.47662993269165
3.9,1.65127838450824
4,1.6984448923061
4.1,1.48804318641324
4.2,1.36797955200898
4.3,1.49886773167695
4.4,1.52408229386837
4.5,1.5196166048035
4.6,1.70770525750023
4.7,1.44250702202366
4.8,1.31200334793614
4.9,1.28205405167282
5,1.27311627028921
5.1,1.20745769826284
5.2,1.07079798972516
5.3,0.895328100057485
5.4,1.03436086091355
5.5,0.8621424623884
5.6,0.951078114859681
5.7,0.891582838000232
5.8,0.893166216920876
5.9,1.03250937083165
6,0.960759063118727
6.1,1.005627926535
6.2,0.767283649661021
6.3,0.647304855807245
6.4,0.854220588271911
6.5,0.762350353337694
6.6,0.716832260170643
6.7,0.600191408851939
6.8,0.665592221525457
6.9,0.585962155011187
7,0.607830793362912
7.1,0.556799910890304
7.2,0.551193212675095
7.3,0.663135410981677
7.4,0.665054796050287
7.5,0.500608203796635
7.6,0.485346870156804
7.7,0.531361689088046
7.8,0.520053341393927
7.9,0.396945747261501
8,0.416506616088967
8.1,0.389017018415862
8.2,0.442461600348329
8.3,0.46530931663402
8.4,0.381704063755568
8.5,0.407928810898984
8.6,0.345239047339548
8.7,0.344332665046533
8.8,0.396387029072712
8.9,0.344673024467107
9,0.3459845925379
9.1,0.346147720310313
9.2,0.27603349336023
9.3,0.323520102423916
9.4,0.267049991545029
9.5,0.307756151681021
9.6,0.295461550549521
9.7,0.299502017016124
9.8,0.264870646643319
9.9,0.265145347095287
10,0.227750457586645
